Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
,42921 - Deepwater Pathfinder - Mississippi Canyon 771,urn:ioos:station:wmo:42921,28.354,-87.82,currents,Inactive
Enven Energy Corporation (Enven),,,,,,
,42362 - Brutus - Green Canyon 158,urn:ioos:station:wmo:42362,27.795,-90.648,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,currents,Active
,,,,,dewTemperature,Inactive
,,,,,salinity,Active
,,,,,waterTemperature,Active
,,,,,winds,Inactive
,42383 - Neptune - Green Canyon 613,urn:ioos:station:wmo:42383,27.37,-89.924,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42384 - Prince TLP - Ewing Bank 1003,urn:ioos:station:wmo:42384,27.993,-90.326,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
Equinor (Equinor),,,,,,
,42891 - West Vela - Mississippi Canyon 775,urn:ioos:station:wmo:42891,26.6573,-91.5793,currents,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
ExxonMobil (Exxon),,,,,,
,42899 - Ocean Endeavor - Keathley Canyon 919,urn:ioos:station:wmo:42899,27.066,-92.06,currents,Inactive
,42930 - Deepwater Champion - Alaminos Canyon 65,urn:ioos:station:wmo:42930,26.906,-94.906,currents,Inactive
,42931 - Noble Bob Douglas - Green Canyon 364,urn:ioos:station:wmo:42931,27.601,-91.354,currents,Inactive
,42937 - Maersk Viking - Mississippi Canyon 211,urn:ioos:station:wmo:42937,28.784,-88.235,currents,Inactive
Florida Fish and Wildlife Research Institute (FWRI),,,,,,
,FWRI MTB: Middle Tampa Bay,urn:ioos:station:wmo:mtbf1,27.661,-82.594,chlorophyll,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,FWRI NPD: New Pass Dock,urn:ioos:station:FWRI:NPD,27.3338,-82.5794,chlorophyll,Inactive
,,,,,chlorophyll,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,,,,,waterTemperature,Inactive
,FWRI OTB: Old Tampa Bay,urn:ioos:station:FWRI:OTB,27.932,-82.6475,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,chlorophyll,Inactive
,,,,,chlorophyll,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
Florida Institute of Technology (FIT),,,,,,
,"SIPF1 - Sebastian Inlet State Park North Jetty, FL",urn:ioos:station:wmo:SIPF1,27.862,-80.445,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterTemperature,Active
,,,,,winds,Inactive
Freeport-McMoRan (Freeport),,,,,,
,42933 - Noble Sam Croft - Green Canyon 643,urn:ioos:station:wmo:42933,27.333,-90.599,currents,Inactive
,42939 - Noble Tom Madden - Mississippi Canyon 84,urn:ioos:station:wmo:42939,28.859,-88.044,currents,Inactive
Helix (Helix),,,,,,
,42388 - Helix Producer 1 - Green Canyon 237,urn:ioos:station:wmo:42388,27.73,-91.109,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,42859 - Discoverer 534 - Green Canyon 516,urn:ioos:station:wmo:42859,27.514,-90.376,currents,Inactive
,42901 - Q5000 - Mississippi Canyon 940,urn:ioos:station:wmo:42901,28.0164,-89.375,currents,Inactive
Kerr-McGee Oil and Gas Corporation (Kerr-McGee),,,,,,
,42366 - Red Hawk - Garden Banks 877,urn:ioos:station:wmo:42366,27.122,-91.959,currents,Inactive
LLOG (LLOG),,,,,,
,42852 - Who Dat FPS - Mississippi Canyon 547,urn:ioos:station:wmo:42852,28.501,-89.769,currents,Inactive
,42875 - Amos Runner - Mississippi Canyon 751,urn:ioos:station:wmo:42875,28.154,-89.836,currents,Inactive
