Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
,"8762482: Bayou Gauche, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8762482,29.7886,-90.4202,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8764044: Berwick, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8764044,29.6675,-91.2376,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,winds,Active
,"8764227: Amerada Pass, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8764227,29.4496,-91.3381,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8764314: Eugene Istans, North of, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8764314,29.2675,-91.3839,airPressure,Active
,,,,,airTemperature,Active
,,,,,salinity,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,"8766072: Freshwater Canal Locks, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8766072,29.555,-92.305,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,waterLevel,Active
,,,,,winds,Active
,"8767816: Lake Charles, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8767816,30.2236,-93.2217,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,"8767961: Bulk Terminal, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8767961,30.1903,-93.3007,waterLevel,Active
,"8768094: Calcasieu Pass, LA",urn:ioos:station:NOAA.NOS.CO-OPS:8768094,29.7682,-93.3429,airPressure,Active
,,,,,airTemperature,Active
,,,,,waterLevel,Active
,,,,,waterTemperature,Active
